SN,No,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,ID,SIG380,SIG440,SIG675,SIG870,SIG1020,STD380,STD440,STD675,STD870,STD1020,0.38,0.44,0.675,0.87,1.02,WATER,,-0.967584026,-0.820980552,-0.393042588,-0.139262067,0.019802627,slope,intercept,alpha,beta
31487,63,3/25/13,20:19:53,10.017,-83.766,3308,723,40.28,1.31,0.996,20.4,99,497.21,433.96,747.27,554.65,887,0.018,0.013,0.004,0.004,0.004,0.768,0.533,0.278,0.175,0.197,Na  ,,-0.263965546,-0.629233855,-1.280134165,-1.742969305,-1.62455155,-1.466918143,-1.783266155,1.466918143,0.168088247
31487,64,3/25/13,20:20:10,10.017,-83.766,3308,723,40.34,1.311,0.996,20.4,99,780.5,589.43,809.42,580.72,913.93,0.015,0.012,0.006,0.004,0.004,0.423,0.299,0.217,0.139,0.174,Na  ,,-0.8603831,-1.207311706,-1.527857925,-1.973281346,-1.74869998,-0.969334478,-1.909607451,0.969334478,0.148138527
31487,65,3/25/13,20:20:24,10.017,-83.766,3308,723,40.4,1.312,0.996,20.5,99,837.12,626.45,795.09,573.7,902.69,0.011,0.008,0.004,0.002,0.003,0.369,0.252,0.23,0.148,0.183,Na  ,,-0.996958635,-1.378326191,-1.46967597,-1.910543005,-1.698269126,-0.722278873,-1.823156945,0.722278873,0.161515051
31487,66,3/25/13,20:20:39,10.017,-83.766,3308,723,40.46,1.313,0.996,20.5,99,872.1,648.01,780.49,566.37,888.45,0.006,0.004,0.004,0.003,0.003,0.337,0.226,0.244,0.158,0.195,Na  ,,-1.087672349,-1.48722028,-1.410587054,-1.845160246,-1.63475572,-0.528275881,-1.736198728,0.528275881,0.176188871
31487,67,3/25/13,20:20:53,10.017,-83.766,3308,723,40.52,1.314,0.996,20.5,99,1085.25,700.59,910.93,600.42,936.02,0.004,0.004,0.005,0.004,0.004,0.171,0.166,0.126,0.114,0.155,Na  ,,-1.766091722,-1.795767491,-2.071473372,-2.171556831,-1.864330162,-0.257881959,-2.052524628,0.257881959,0.128410306
31487,68,3/25/13,20:21:09,10.017,-83.766,3308,723,40.58,1.316,0.996,20.5,99,1060.09,691.26,906.07,602.3,940.96,0.007,0.003,0.004,0.004,0.003,0.188,0.176,0.13,0.111,0.151,Na  ,,-1.671313316,-1.737271284,-2.040220829,-2.198225078,-1.890475442,-0.379452718,-2.082130386,0.379452718,0.124664346
31487,69,3/25/13,20:21:23,10.017,-83.766,3308,723,40.64,1.317,0.996,20.5,99,1085.19,706.2,905.02,604.8,945.85,0.004,0.004,0.003,0.004,0.004,0.17,0.159,0.131,0.108,0.147,Na  ,,-1.771956842,-1.838851077,-2.032557956,-2.225624052,-1.917322692,-0.287732879,-2.089681028,0.287732879,0.123726595
31487,70,3/25/13,20:21:38,10.017,-83.766,3308,723,40.7,1.318,0.996,20.5,99,1086.1,710.69,897.7,605.72,948,0.004,0.006,0.003,0.003,0.003,0.169,0.154,0.137,0.107,0.145,Na  ,,-1.777856564,-1.870802677,-1.987774353,-2.234926445,-1.931021537,-0.276751293,-2.087840947,0.276751293,0.123954471
31487,71,3/25/13,20:21:52,10.017,-83.766,3308,723,40.76,1.319,0.996,20.5,99,1071.38,709.24,885.37,603.04,942.54,0.005,0.003,0.004,0.004,0.005,0.179,0.155,0.147,0.11,0.149,Na  ,,-1.720369473,-1.864330162,-1.917322692,-2.207274913,-1.903808973,-0.283412477,-2.05305144,0.283412477,0.128342675
31487,72,3/25/13,20:22:09,10.017,-83.766,3308,723,40.83,1.32,0.996,20.5,99,1048.92,706.58,868.77,598.04,934.45,0.005,0.004,0.004,0.004,0.004,0.194,0.158,0.162,0.116,0.156,Na  ,,-1.63989712,-1.845160246,-1.820158944,-2.154165088,-1.857899272,-0.286356012,-1.995240985,0.286356012,0.135980881
31487,73,3/25/13,20:22:24,10.017,-83.766,3308,723,40.89,1.322,0.996,20.6,99,1088,708.58,903.59,604.86,943.4,0.006,0.004,0.007,0.004,0.005,0.166,0.155,0.132,0.107,0.148,Na  ,,-1.795767491,-1.864330162,-2.024953356,-2.234926445,-1.910543005,-0.257337373,-2.084534179,0.257337373,0.124365039
